,lat [deg],long [deg],RA [deg],dec [deg],vlos [km/s],dist [kpc],pmRA [mas/yr],pmdec [mas/yr]
0,-27.8083773356,11.1793614072,300.001832822,-29.0250339427,174.72975004,27.6541518715,-2.02678102441,-1.24439304587
1,-27.6577411255,11.3728303767,299.893541904,-28.8454744616,131.592257556,27.5807370086,-1.22587825339,-0.863247742241
2,-27.8232206533,11.0797331281,299.988318003,-29.1013855924,184.131746912,27.6023975317,-1.97257263822,-1.02562844166
3,-28.076854324,10.8425402707,300.19951033,-29.3373169477,247.830826794,27.5842567151,-2.26830329736,-1.02438646265
4,-27.7147531125,10.8179461905,299.789004892,-29.2646697212,249.922131805,27.5994037886,-2.47919778598,-1.57803038814
5,-29.1852617426,11.2781535163,301.562908221,-29.2939982145,183.719038547,27.5399864351,-2.04788966368,-1.20111127115
6,-29.3974999018,10.8738436107,301.685899271,-29.6351776247,190.096353374,27.4719640856,-1.88504374389,-0.637639796764
7,-29.5114832438,11.4609064272,301.979078686,-29.2410646196,228.822237015,27.4490847206,-1.86508191435,-1.23406864854
8,-29.6552352533,12.0944014684,302.318175615,-28.8198525813,134.133467119,27.6021028232,-1.81568311666,-1.36775406957
9,-30.0723447255,13.1053573543,303.064910197,-28.1925169474,151.250850815,27.2464918371,-2.41191577266,-1.06013049758
10,-29.7175890591,13.982943412,302.926729302,-27.466382705,178.057914551,27.3981316646,-1.85372312693,-0.824648390201
11,-28.3095596497,12.69983374,301.010922545,-28.0417415417,222.701196122,27.702790663,-2.09095222456,-1.24514451888
12,-27.7934282152,12.3998234187,300.355086464,-28.1276584109,181.906831944,27.7657913522,-1.52041339981,-1.4377779075
13,-27.4231150985,12.5561227038,299.998360708,-27.9148968519,102.516986019,27.6385499418,-1.88211387125,-1.08043168276
14,-27.576218859,12.6286364494,300.18775443,-27.9019881131,186.946721134,27.825787265,-1.84284896056,-1.26589986303
15,-27.766615747,12.1991543668,300.264578209,-28.268110503,191.728399228,27.6711333262,-1.79230610134,-0.963788097827
16,-27.7246622408,12.8880553363,300.42929142,-27.749926515,166.342322854,27.3073323468,-2.15690149314,-0.839459513529
17,-27.5894257761,13.0143743228,300.321023186,-27.6205930618,183.797142407,27.2481121339,-1.65112856662,-1.15160049772
18,-27.8877991772,12.3963728956,300.457396717,-28.1548283796,203.474410091,27.9238117146,-1.62675474479,-0.930952422272
19,-28.1844109287,12.3239094595,300.760879844,-28.2848205822,154.75087991,27.8897687058,-1.55748115822,-1.52687688863
20,-28.322552865,12.662834579,301.014059559,-28.0722240652,154.64996699,28.3003475981,-1.64185782649,-1.26561952061
21,-27.656262583,11.9820076317,300.077250912,-28.3988447186,203.117139641,28.5249337877,-2.22953926341,-1.03851672702
22,29.3204617914,8.14595661005,244.91716819,-5.72932968144,415.128585454,7.07039511535,5.12256610251,5.24117193277
23,41.0693763295,186.409423514,134.657776259,34.488727158,-10.1154701687,143.328838755,-0.0939133684449,0.0524615653445
24,34.8821965743,157.144085914,125.234124844,49.6151166326,-127.410203238,141.612077014,-0.107017095422,0.0535489141483
25,37.3409303918,166.3791627,128.777721381,45.3877444338,59.2918079311,155.180075126,0.169053308793,-0.168936278487
26,25.6927055582,169.179168894,110.801448537,43.1705647246,-88.2606629149,166.410183666,-0.133605983367,0.00393711131473
27,30.7442087415,163.872849754,117.636963498,46.5379342997,-89.1269237955,154.949635197,-0.149260365411,0.0545763023909
28,26.5432062714,171.537150586,112.74114897,41.9143011474,-154.518020699,130.534716992,-0.0546298475982,0.00254372276018
29,17.3922797884,172.329478466,100.601925199,39.5170637591,-13.7468539334,140.080115,-0.0955979739733,0.00856578479365
30,21.9232785184,172.405752874,106.607970781,40.5508288581,-92.319549419,153.003096359,-0.153957363023,0.0216636592604
31,24.8808186824,175.654730035,111.718283789,39.0870469935,17.9489385368,168.322768782,-0.068518427845,0.0144500999829
32,24.8197445275,176.06613551,111.771404618,38.8110938539,-83.5671800616,178.623488367,-0.101976621316,0.0193294766164
33,16.7384695896,169.983568363,98.5763090373,40.8261739551,-61.6077943819,210.798137722,-0.0560932746273,0.0150446041403
34,32.5159125353,171.279850103,121.433729341,42.7191490028,-71.6842060475,193.367490888,-0.0846615300709,0.0482233931095
35,31.5275729907,168.812002453,119.589138813,44.009927093,-53.8035361012,186.713307282,-0.108562577267,0.0504998752391
36,17.6364282965,163.319425297,96.1958513162,44.9500989916,-19.7698295701,224.923685699,-0.076927822316,0.00568788094051
37,18.545422913,150.835774661,89.0978533483,51.0326224324,-81.7533627547,161.04440077,-0.152146599513,-0.0267071334671
38,11.2850532322,149.726397211,74.774370127,49.7149891348,-99.1010244989,165.19405446,-0.101394496281,-0.0342435618347
39,30.5458977759,144.476835897,116.894996073,54.1676070376,-110.626852761,154.903595426,-0.103409250607,0.0192683388152
40,35.0709054307,142.640319823,131.711703955,54.3609124057,-102.889061548,159.496807231,-0.106425831278,0.0384948623135
41,35.5595218744,143.023113667,132.823713702,54.2144204341,-88.2448769467,174.079763273,-0.0844178487044,0.0525315573769
42,53.1121982553,142.527752995,168.207013649,49.8663194896,-90.0559840827,164.279158568,-0.00707488476833,0.121730214435
43,55.4222425057,165.453532583,156.812313511,43.0100310285,-107.919660368,153.922768192,-0.0835915086732,0.11063188116
44,55.2918809011,165.078310317,156.77007453,43.1737565483,152.993435376,163.320706418,-0.0449170685137,0.104007504066
45,43.3747901891,169.343124746,138.015442972,43.6334843274,-86.9525195025,174.653293337,-0.0508243987878,0.094203601602
46,48.3800801908,174.802443097,144.533876279,40.6038168075,23.9106226583,181.523943239,0.0155004268319,-0.050983234233
47,45.3474268026,168.036940111,141.273213784,44.020396383,131.832930175,206.700289082,-0.0337102598155,0.0406437838981
48,57.0725494193,163.364260897,159.843456628,43.2000568586,77.988022972,244.054274497,-0.0235573172977,0.0678519089483
