,lat [deg],long [deg],RA [deg],dec [deg],vlos [km/s],dist [kpc],pmRA [mas/yr],pmdec [mas/yr]
0,-27.7969570904,11.365494795,300.045298493,-28.8863456427,86.0296918706,27.7467389968,-1.94256654456,-0.835956690494
1,-27.857822194,11.3008049527,300.093187164,-28.9490057429,154.444935531,27.7735105817,-2.23562077457,-1.82203768815
2,-27.7444291658,11.3286851229,299.976054599,-28.8998498282,145.672038378,27.7625297929,-1.92483901604,-1.29348365799
3,-27.5596444006,11.2499273145,299.747719621,-28.9102321376,257.423921881,27.7904592375,-1.52845710197,-1.21975432958
4,-27.5779261855,11.3284963595,299.791837266,-28.8574631474,231.62144038,27.7827843425,-2.14192199374,-1.12742525183
5,-27.5680789418,11.3342502339,299.782702516,-28.8507321632,206.227945707,27.7788555726,-1.67649617199,-1.37085493244
6,-27.5559429418,11.2715866584,299.750215026,-28.8934497443,209.612737844,27.7750843648,-1.8092029871,-1.53915515486
7,-27.5685261018,11.2316081307,299.751975147,-28.9258935976,153.618653328,27.7585254524,-1.45359982114,-0.777010554169
8,-27.7067721635,10.9745647289,299.827356791,-29.1486049868,217.573807834,27.8065283528,-2.22092116521,-1.4844865019
9,-27.82442367,11.0566496141,299.982712964,-29.1185018624,241.950036166,27.6961486104,-1.78931272378,-1.53069233925
10,-27.8698597444,11.0779037931,300.039544636,-29.1144749664,179.834524446,27.7258960747,-1.90069873737,-1.40573406735
11,-27.8057109325,11.1275744549,299.983282719,-29.0621068568,180.856625354,27.7255452345,-2.52136016849,-1.09484403495
12,-27.7397124698,11.0944270928,299.90008195,-29.0695734614,176.15730179,27.6578842505,-1.72737666321,-1.19039465489
13,-27.8347360355,11.1819432825,300.031836731,-29.0298204834,163.433833667,27.6706038386,-1.63503033056,-0.572832571163
14,-27.8586863086,11.1231515226,300.040729567,-29.0787070864,200.78733016,27.6903726584,-2.22229044822,-0.870005345672
15,-27.7502126638,11.0115664567,299.886749109,-29.1326168365,233.613983401,27.6810277694,-2.09759153498,-0.834721367613
16,-27.5710783257,11.0316487414,299.694062198,-29.072588556,172.644839405,27.6505225837,-1.71490314885,-1.42738647268
17,-27.6156616244,10.9896829389,299.730792775,-29.1145251931,160.504627049,27.7053658456,-1.9953033089,-1.20593433888
18,-27.5914191653,11.1185304712,299.742975082,-29.0143394389,155.450404092,27.6922004052,-1.66205348347,-0.604843381964
19,-27.6226841452,11.1074692688,299.774266663,-29.0303693906,175.919671157,27.6816548781,-2.42773439315,-1.05796890125
20,-27.5531049643,11.1399678566,299.707044404,-28.9889183314,178.58743219,27.6719897348,-1.81035905315,-0.567672356257
21,-27.6791880189,11.2024678966,299.865645418,-28.9753958087,129.170969231,27.653454617,-2.02853434554,-0.765713782328
22,-27.6790634939,11.2624006469,299.883654052,-28.9316038535,195.836593541,27.6633304754,-2.80899514317,-1.32438738179
23,-27.5957419857,11.2496349295,299.787568685,-28.9196726631,263.139244001,27.6811754319,-2.41080554377,-0.812861515822
24,-27.6757499552,11.1991860785,299.860843914,-28.9769169085,241.206220353,27.7065640272,-2.02513382447,-1.51272523673
25,-27.6251247712,11.3046135878,299.836770992,-28.8869993044,143.181650377,27.7259801407,-2.24465971335,-1.27890969263
26,-27.6049193898,11.3101317624,299.81610018,-28.8777999442,210.180245148,27.7409445601,-2.13365448179,-1.50228690336
27,-27.54017357,11.2840823777,299.736579832,-28.8802742782,154.921020346,27.7382747298,-2.30398930429,-1.34565729386
28,-27.5358141946,11.3096333635,299.739542089,-28.8604684712,128.888937176,27.7064318696,-2.02858917597,-0.978861761993
29,-27.5386201627,11.337949228,299.751269742,-28.8404731322,208.067603566,27.6829586183,-2.05570701272,-1.15048132545
